suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,product_href
REJECT,excluded_category,7613035809123,פרפקטו רוטב עגבניות עם פלפלים 400 גרם,זיתא,שמן זית,"פרפקטו רוטב עגבניות עם פלפלים 400 גרם
פרפקטו | 400 גרם
‏11.90 ‏₪
‏2.98 ‏₪ / 100 גרם
צ'יפס אורז חום מלא בטעם טקסס ברביקיו
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
מאסטר שף ממרח פסטו ירוק 190 גרם
מאסטר שף | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
רוטב שמנת עם פטריות 9% 258 גרם
יטבתה | 250 מ""ל
‏10.90 ‏₪
‏4.36 ‏₪ / 100 מ""ל
פרפקטו רוטב עגבניות ובזיליקום 400 גרם
פרפקטו | 400 גרם
‏11.90 ‏₪
‏2.98 ‏₪ / 100 גרם
רביולי תרד וריקוטה
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
עוגיות מזרחיות עם זעתר 400 גרם
אחוה | 400 גרם
2 יח' ב- ‏18 ₪
‏12.90 ‏₪
‏3.23 ‏₪ / 100 גרם
רוטב פיצה 430גר
אוליביה | 430 גרם
‏14.60 ‏₪
‏3.40 ‏₪ / 100 גרם
פלין פטריות וריקוטה בטעם כמהין
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
ממרח סויה 9% שומן עם שום שמיר
תנובה אלטרנטיב | 250 גרם
‏9.50 ‏₪
‏3.80 ‏₪ / 100 גרם
ריו מארה אינסלטיסימי ירקות גינה עם טונה
ריו מרה | 160 גרם
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏11.19 ‏₪ / 100 גרם
זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם
פיטנס חטיף מולטיגריין עשבי תיבול 25 גרם
פיטנס | 25 גרם
‏5.50 ‏₪
‏22.00 ‏₪ / 100 גרם
ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל
ווניש אוקסי אקשן | 200 מ""ל
במבצע ‏8.90 ₪
‏16.90 ‏₪
‏8.45 ‏₪ / 100 מ""ל
צ'יפס אורז חום מלא בטעם פפריקה
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פילה הרינג בסגנון מטיאס הולנדי בשמן
פל-דג | 180 גרם
‏18.90 ‏₪
‏10.50 ‏₪ / 100 גרם
פיצה מרגריטה עם זיתים 125 גרם
וילי פוד | 125 גרם
‏4.90 ‏₪
‏3.92 ‏₪ / 100 גרם
מרכך קרטין לאחר החלקה 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
‏26.90 ‏₪
‏3.59 ‏₪ / 100 מ""ל
אמפנדס מאפה במילוי בשר.
מאפה של חייקה | 330 גרם
‏34.90 ‏₪
‏10.58 ‏₪ / 100 גרם
צבע לשיער בלונד בהיר אפור מס' 9.1
גרנייה קולור נטורלס | 1 יח'
‏19.90 ‏₪
‏19.90 ‏₪ / 1 יח'",פרפקטו רוטב עגבניות עם פלפלים 400 גרם,
REJECT,no_olive_oil_signal,7290019621720,זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם,זיתא,שמן זית,"זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם
פיטנס חטיף מולטיגריין עשבי תיבול 25 גרם
פיטנס | 25 גרם
‏5.50 ‏₪
‏22.00 ‏₪ / 100 גרם
ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל
ווניש אוקסי אקשן | 200 מ""ל
במבצע ‏8.90 ₪
‏16.90 ‏₪
‏8.45 ‏₪ / 100 מ""ל",זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם,
REJECT,no_olive_oil_signal,7290112004611,"ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל",,שמן זית,"ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל
ווניש אוקסי אקשן | 200 מ""ל
במבצע ‏8.90 ₪
‏16.90 ‏₪
‏8.45 ‏₪ / 100 מ""ל","ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל",
REJECT,no_olive_oil_signal,7290002043225,צ'יפס אורז חום מלא בטעם פפריקה,,שמן זית,"צ'יפס אורז חום מלא בטעם פפריקה
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פילה הרינג בסגנון מטיאס הולנדי בשמן
פל-דג | 180 גרם
‏18.90 ‏₪
‏10.50 ‏₪ / 100 גרם
פיצה מרגריטה עם זיתים 125 גרם
וילי פוד | 125 גרם
‏4.90 ‏₪
‏3.92 ‏₪ / 100 גרם
מרכך קרטין לאחר החלקה 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
‏26.90 ‏₪
‏3.59 ‏₪ / 100 מ""ל",צ'יפס אורז חום מלא בטעם פפריקה,
REJECT,no_olive_oil_signal,7290014204638,"מרכך קרטין לאחר החלקה 750 מ""ל",,שמן זית,"מרכך קרטין לאחר החלקה 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
‏26.90 ‏₪
‏3.59 ‏₪ / 100 מ""ל","מרכך קרטין לאחר החלקה 750 מ""ל",
REJECT,no_olive_oil_signal,7290013787422,פלין פטריות וריקוטה בטעם כמהין,זיתא,שמן זית,"פלין פטריות וריקוטה בטעם כמהין
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
ממרח סויה 9% שומן עם שום שמיר
תנובה אלטרנטיב | 250 גרם
‏9.50 ‏₪
‏3.80 ‏₪ / 100 גרם
ריו מארה אינסלטיסימי ירקות גינה עם טונה
ריו מרה | 160 גרם
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏11.19 ‏₪ / 100 גרם
זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם
פיטנס חטיף מולטיגריין עשבי תיבול 25 גרם
פיטנס | 25 גרם
‏5.50 ‏₪
‏22.00 ‏₪ / 100 גרם
ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל
ווניש אוקסי אקשן | 200 מ""ל
במבצע ‏8.90 ₪
‏16.90 ‏₪
‏8.45 ‏₪ / 100 מ""ל
צ'יפס אורז חום מלא בטעם פפריקה
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פילה הרינג בסגנון מטיאס הולנדי בשמן
פל-דג | 180 גרם
‏18.90 ‏₪
‏10.50 ‏₪ / 100 גרם
פיצה מרגריטה עם זיתים 125 גרם
וילי פוד | 125 גרם
‏4.90 ‏₪
‏3.92 ‏₪ / 100 גרם
מרכך קרטין לאחר החלקה 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
‏26.90 ‏₪
‏3.59 ‏₪ / 100 מ""ל
אמפנדס מאפה במילוי בשר.
מאפה של חייקה | 330 גרם
‏34.90 ‏₪
‏10.58 ‏₪ / 100 גרם
צבע לשיער בלונד בהיר אפור מס' 9.1
גרנייה קולור נטורלס | 1 יח'
‏19.90 ‏₪
‏19.90 ‏₪ / 1 יח'",פלין פטריות וריקוטה בטעם כמהין,
REJECT,excluded_category,7290013068361,שמן זית אליעד 750 מל,יד מרדכי,שמן זית כתית מעולה,"שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
תרסיס שמן זית 150 מ""ל
יד מרדכי | 150 מ""ל
‏17.90 ‏₪
‏11.93 ‏₪ / 100 מ""ל
ס.ק דל נתרן במים 160 גרם רביעיות-בי
סטארקיסט | 640 גרם
‏25.90 ‏₪
‏4.05 ‏₪ / 100 גרם
תרסיס שמן זית ללא תוספת גז
עץ הזית | 150 מ""ל
2 יח' ב- ‏28 ₪
‏18.90 ‏₪
‏12.60 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
תרסיס שמן זית
פאם | 148 מ""ל
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏12.09 ‏₪ / 100 מ""ל
שמן זית 750 מל זן סורי
ג'השאן | 750 מ""ל
‏41.90 ‏₪
‏5.59 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
שמן זית 2 קלאסי 750 מ""ל
יד מרדכי | 750 מ""ל
‏39.90 ‏₪
‏5.32 ‏₪ / 100 מ""ל
שמן זית לחיץ 280 מ""ל
יד מרדכי | 280 מ""ל
‏16.90 ‏₪
‏6.04 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם
יוחננוף | 560 גרם
‏24.90 ‏₪
‏4.45 ‏₪ / 100 גרם
גריסיני קלאסי 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
גריסיני עם רוזמרין 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
לבנה שמן זית זעתר
גד | 250 גרם
‏15.90 ‏₪
‏6.36 ‏₪ / 100 גרם
גבינת לאבנה עם שמן זית וזעתר 10% 400 גרם
שטראוס | 400 גרם
‏16.40 ‏₪
‏4.10 ‏₪ / 100 גרם
פיצה זוג זיתים יוחננוף
יוחננוף | 680 גרם
במבצע ‏27.90 ₪
‏29.90 ‏₪
‏4.40 ‏₪ / 100 גרם
נשנושי פיצה עם זיתים שגב 620 גרם
שגב | 620 גרם
2 יח' ב- ‏50 ₪
‏29.90 ‏₪
‏4.82 ‏₪ / 100 גרם
זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם",שמן זית אליעד 750 מל,
REJECT,excluded_category,7290002507604,פיצת השף 320 גרם,זיתא,שמן זית כתית מעולה,"פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם",פיצת השף 320 גרם,
REJECT,excluded_category,7290000554686,לבנה שמן זית זעתר,זיתא,שמן זית כתית מעולה,"לבנה שמן זית זעתר
גד | 250 גרם
‏15.90 ‏₪
‏6.36 ‏₪ / 100 גרם
גבינת לאבנה עם שמן זית וזעתר 10% 400 גרם
שטראוס | 400 גרם
‏16.40 ‏₪
‏4.10 ‏₪ / 100 גרם
פיצה זוג זיתים יוחננוף
יוחננוף | 680 גרם
במבצע ‏27.90 ₪
‏29.90 ‏₪
‏4.40 ‏₪ / 100 גרם
נשנושי פיצה עם זיתים שגב 620 גרם
שגב | 620 גרם
2 יח' ב- ‏50 ₪
‏29.90 ‏₪
‏4.82 ‏₪ / 100 גרם
זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
רוטב שמנת עם פטריות 9% 258 גרם
יטבתה | 250 מ""ל
‏10.90 ‏₪
‏4.36 ‏₪ / 100 מ""ל
חומוס וזעתר
אחלה | 400 גרם
‏10.90 ‏₪
‏2.73 ‏₪ / 100 גרם
מאסטר שף ממרח פסטו ירוק 190 גרם
מאסטר שף | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם",לבנה שמן זית זעתר,
REJECT,excluded_category,7290017140773,זוג פיצות ללא גלוטן בתוספת קמח כרובית,זיתא,שמן זית כתית מעולה,"זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
רוטב שמנת עם פטריות 9% 258 גרם
יטבתה | 250 מ""ל
‏10.90 ‏₪
‏4.36 ‏₪ / 100 מ""ל
חומוס וזעתר
אחלה | 400 גרם
‏10.90 ‏₪
‏2.73 ‏₪ / 100 גרם
מאסטר שף ממרח פסטו ירוק 190 גרם
מאסטר שף | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם",זוג פיצות ללא גלוטן בתוספת קמח כרובית,
REJECT,excluded_category,7290112012685,רוטב ישראלי לסלט,יד מרדכי,שמן זית ישראלי,"רוטב ישראלי לסלט
תמרה | 360 גרם
‏14.90 ‏₪
‏4.14 ‏₪ / 100 גרם
שמן זית כתית מעולה ג'השאן 750 מ""ל
ג'השאן | 750 מ""ל
‏29.90 ‏₪
‏39.90 ‏₪
‏3.99 ‏₪ / 100 מ""ל
שמן זית לחיץ 280 מ""ל
יד מרדכי | 280 מ""ל
‏16.90 ‏₪
‏6.04 ‏₪ / 100 מ""ל",רוטב ישראלי לסלט,
REJECT,excluded_category,8005803010357,גריסיני קלאסי 125 גרם,זיתא,שמן זית כתית,"גריסיני קלאסי 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
גריסיני עם רוזמרין 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם
יוחננוף | 560 גרם
‏24.90 ‏₪
‏4.45 ‏₪ / 100 גרם
לבנה שמן זית זעתר
גד | 250 גרם
‏15.90 ‏₪
‏6.36 ‏₪ / 100 גרם
גבינת לאבנה עם שמן זית וזעתר 10% 400 גרם
שטראוס | 400 גרם
‏16.40 ‏₪
‏4.10 ‏₪ / 100 גרם
צ'וקטה גריסיני שמן זית 120 גרם
צ'וקטה סולטי | 120 גרם
2 יח' ב- ‏12 ₪
‏7.90 ‏₪
‏6.58 ‏₪ / 100 גרם
מאסטר שף ממרח זיתי קלמטה 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
פיצה זוג זיתים יוחננוף
יוחננוף | 680 גרם
במבצע ‏27.90 ₪
‏29.90 ‏₪
‏4.40 ‏₪ / 100 גרם
נשנושי פיצה עם זיתים שגב 620 גרם
שגב | 620 גרם
2 יח' ב- ‏50 ₪
‏29.90 ‏₪
‏4.82 ‏₪ / 100 גרם
מאסטר שף ממרח פלפלים 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
מאסטר שף ממרח זיתים ירוקים 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'
זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
מאסטר שף אריסה 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל",גריסיני קלאסי 125 גרם,
REJECT,excluded_category,8004030271418,טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3,זיתא,שמן זית כתית,"טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'
זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
מאסטר שף אריסה 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב ישראלי לסלט
תמרה | 360 גרם
‏14.90 ‏₪
‏4.14 ‏₪ / 100 גרם
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם",טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3,
REJECT,no_olive_oil_signal,7290017140766,זוג פיצות מרגריטה ללא גלוטן,,שמן זית אורגני,"זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם",זוג פיצות מרגריטה ללא גלוטן,
REJECT,no_olive_oil_signal,7290110324728,ממרח סויה 9% שומן עם שום שמיר,,שמן זית אורגני,"ממרח סויה 9% שומן עם שום שמיר
תנובה אלטרנטיב | 250 גרם
‏9.50 ‏₪
‏3.80 ‏₪ / 100 גרם",ממרח סויה 9% שומן עם שום שמיר,
REJECT,no_olive_oil_signal,7290019233183,חרוזיתא זית ירוק ללא גלעין,זיתא,שמן זית יווני,"חרוזיתא זית ירוק ללא גלעין
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם",חרוזיתא זית ירוק ללא גלעין,
