barcode,name,old_score,old_grade,new_score,new_grade,score_delta,grade_changed,binding_cap,nova,context_flag,category,d4_score_penalty,driver
4823077614699,ביסקוויט לקפה בטעם חמאה — ROSHEN,26.0,E,26.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
4823077633317,עוגיות LOVITA שוקולד,24.3,E,24.3,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
5317194,ביסקוויט בטעם וניל הדר — הדר,35.8,D,37.8,D,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
540160,"עוגיות ללת""ס מקמח מלא — האחים",51.5,C,51.5,C,0.0,False,70,3,,biscuit,0,binding_cap=70 | cap:NOVA_PROXY_3_PROCESSED | pen-3:SEED_OIL_PRESENT
5410126006049,ביסקוויט לוטוס טעם קרמל — לוטוס,18.4,E,18.4,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
5410126116168,ביסקוויט בטעם קרמל — לוטוס,18.4,E,18.4,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
5410126726244,ביסקוויט קרמל — לוטוס,18.4,E,18.4,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
5410126806250,עוגיות לוטוס — לוטוס,18.4,E,18.4,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
5901414200411,עוגיות היט מיניס עם שוקולד 130 גרם בלזן,15.8,E,15.8,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
61245,עוגיות שוקוציפס+שוקולד — אסם,15.7,E,15.6,E,-0.1,False,45,4,,snack_bar_granola,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290000061245,עוגיות שוקוצ'יפס ממולאות 220 גרם אסם,37.4,D,37.4,D,0.0,False,68.0,4,,biscuit,0,binding_cap=68.0 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS | pen-4:LONG_INGREDIENT_LIST | pen-3:SEED_OIL_PRESENT
7290000075143,עוגיות שוקוצ'יפס קלאסי 200 גרם אסם,14.6,E,14.6,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290011489625,ביסקוויט בטעם שוקו — הדר,35.7,D,37.7,D,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290013156006,עוגיות מיני מרוקאיות 350 גרם בבקה,36.2,D,36.2,D,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290013156921,עוגיות אצבעות מתוקות ללא סוכר גאקובס 350 גרם ג'ייקוב אנד אס,40.0,D,40.0,D,0.0,False,55,4,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS
7290013453068,עוגיות כוסמין פירות יער,52.0,C,52.0,C,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-3:SEED_OIL_PRESENT
7290013453501,ביסקוטי כוסמין שוקולד — דני וגלית,44.8,D,43.3,D,-1.5,False,55,4,,snack_bar_granola,0,binding_cap=55 | cap:SNACK_BAR_RED_SUGAR_LABEL | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290013453693,"עוגיות גרידת לימון ללת""ס — דני וגלית",59.8,C,59.8,C,0.0,False,70,3,,biscuit,0,binding_cap=70 | cap:NOVA_PROXY_3_PROCESSED | pen-3:SEED_OIL_PRESENT
7290013740014,עוגיות שוקוצ'יפס,37.0,D,37.0,D,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-8.0:HP_FAT_SUGAR_COMBO
7290013740052,עוגיות פרחי ריבה — קופסת העוגיות של רחלי,44.7,D,44.7,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS
7290013740113,עוגיות מרוקאיות — קופסת העוגיות של רחלי,52.9,C,52.9,C,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT
7290013740137,עוגיות אוזן פיל — קופסת העוגיות של רחלי,50.4,C,50.4,C,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT
7290013740229,עוגיות פרסות שקדים — קופסת העוגיות של רחלי,46.1,D,46.1,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290013740342,"עוגיות פרחי ריבה ללת""ס — קופסת העוגיות של רחלי",42.9,D,42.9,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS
7290013740465,עוגיות שושנים — קופסת העוגיות של רחלי,43.3,D,43.3,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-6.0:HP_FAT_SODIUM_COMBO
7290013740472,עוגיות מושלגות — קופסת העוגיות של רחלי,43.6,D,45.6,D,2.0,False,55,3,,biscuit,0,binding_cap=55 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-3:SEED_OIL_PRESENT
7290013740540,"עוגיות אוזן פיל ללת""ס — קופסת העוגיות של רחלי",44.7,D,44.7,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_3_PROCESSED | cap:ISRAELI_RED_LABEL_1_SAT_FAT | pen-3:SEED_OIL_PRESENT
7290013740557,עוגיות רייפעת — קופסת העוגיות של רחלי,48.5,D,48.5,D,0.0,False,94.8,3,,biscuit,0,binding_cap=94.8 | cap:NOVA_PROXY_3_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
7290013740694,עוגיות אלפחורס — קופסת העוגיות של רחלי,29.5,E,29.5,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-8.0:HP_FAT_SUGAR_COMBO
7290017724171,מארז עוגיות אקלר סנדוויץ ריבה ללא סוכר הללס,22.2,E,24.2,E,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_5_PLUS
7290017894317,עוגיות כוסמין מלא שוקולד — גנדולה,36.1,D,36.1,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_3_PROCESSED | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290017898506,ביסקוטי — החוש השישי,38.3,D,38.3,D,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_3_PROCESSED | pen-8.0:HP_FAT_SUGAR_COMBO
7290017962139,"עוגיות פירות יער כשל""פ — דני וגלית",54.9,C,54.9,C,0.0,False,94.8,3,,biscuit,0,binding_cap=94.8 | cap:NOVA_PROXY_3_PROCESSED | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290018371923,פתי בר קמח מלא אורגני — השדה,29.0,E,29.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290018371930,פתי בר קמח כוסמין אורגני — השדה,29.0,E,29.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290018371947,פתי בר כוסמין — השדה,27.0,E,27.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290018893036,עוגיות סנדוויץ' שוקולד,19.5,E,19.5,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290018893845,פתי בר בטעם חמאה — צ'וקטה,34.4,E,36.4,D,2.0,True,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290019293804,קראנץ אגוזי לוז,31.1,E,33.1,E,2.0,False,45,3,,whole_food_fat,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-8.0:HP_FAT_SUGAR_COMBO
7290019816034,מאגדת מיני קראנץ עוגיות,27.1,E,29.1,E,2.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-8.0:HP_FAT_SUGAR_COMBO
7290019816058,קראנץ מיני אלפחורס,10.6,E,12.6,E,2.0,False,45,4,,snack_bar_granola,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:SNACK_BAR_RED_SUGAR_LABEL | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-4:LONG_INGREDIENT_LIST
7290019816232,קראנץ סנדויץ שוקולד,13.0,E,15.0,E,2.0,False,45,4,,snack_bar_granola,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:SNACK_BAR_RED_SUGAR_LABEL | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-4:LONG_INGREDIENT_LIST
7290019870463,עוגיות סנדוויץ עם קרם בטעם וניל צ'וקטה 176 גרם צ'וקטה,15.2,E,15.2,E,0.0,False,45,4,,dessert,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290019870470,עוגיות סנדוויץ עם קרם בטעם שוקו צ'וקטה 176 גרם צ'וקטה,26.1,E,26.1,E,0.0,False,45,3,,dessert,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-8.0:HP_FAT_SUGAR_COMBO
7290020030184,עוגיות מזרחיות עם זעתר 400 גרם אחוה,54.0,C,54.0,C,0.0,False,60,3,,biscuit,0,binding_cap=60 | cap:NOVA_PROXY_3_PROCESSED | cap:HIGH_SODIUM_700MG_PLUS | pen-6.0:HP_FAT_SODIUM_COMBO
7290101111986,עינוגים קוקיס עוגיות,10.1,E,12.1,E,2.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_SUGAR_25G_PLUS | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-4:LONG_INGREDIENT_LIST | pen-3:SEED_OIL_PRESENT
7290105364784,פרה קראנץ' שוקולד לבן פרה,18.4,E,18.4,E,0.0,False,45,3,,snack_bar_granola,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290106571921,עוגיות פיטנס חמוציות 180 גרם פיטנס,28.0,E,28.0,E,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ADDITIVE_MARKERS_3_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-4:LONG_INGREDIENT_LIST
7290106571945,עוגיות קקאו דגנים מלאים עם נטיפי שוקולד מריר פיטנס 180 גרם פ,32.2,E,32.2,E,0.0,False,55,3,,snack_bar_granola,0,binding_cap=55 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:SNACK_BAR_HIGH_CAL_SUGAR | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-4:LONG_INGREDIENT_LIST
7290106656727,עוגיות חיוכים שוקולד,15.4,E,15.4,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290109354972,פתי בר ללא גלוטן קלאסי — אסם,8.0,E,10,E,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290109354996,פתי בר ללא גלוטן שוקו — אסם,8.7,E,10.7,E,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290112340276,עוגיות קרם קפה נמס 200 גרם עלית,15.1,E,15.1,E,0.0,False,45,4,,dessert,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290112961754,עוגיות שוקוציפס קרם אגוז,17.3,E,17.3,E,0.0,False,45,4,,whole_food_fat,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-4:LONG_INGREDIENT_LIST
7290115206333,עוגיות מיני שוקוצ'יפס,14.8,E,14.8,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290118422617,קרמוגית קראנץ קרם וניל עוגיות 200 גרם קרמוגית,31.7,E,33.7,E,2.0,False,68.0,4,,dessert,0,binding_cap=68.0 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290118423904,קרמוגית קראנץ שוקו וניל עוגיות 200 גרם קרמוגית,32.2,E,34.2,E,2.0,False,68.0,4,,biscuit,0,binding_cap=68.0 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-3:SEED_OIL_PRESENT
7290118426615,עוגיות מיני שוקולד,28.6,E,27.1,E,-1.5,False,55,3,,snack_bar_granola,0,binding_cap=55 | cap:SNACK_BAR_RED_SUGAR_LABEL | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-4:LONG_INGREDIENT_LIST
7290119040179,עוגיות פרח עם ריבת תות — VOILA,8.5,E,12.5,E,4.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
7290119040605,עוגיות נסיכה בטעם תות,11.2,E,15.2,E,4.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290119040650,עוגיות נסיכה מיקס,11.2,E,15.2,E,4.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
7290119040803,עוגיות קינמון מסוכרות — לה פזואלוס,19.8,E,19.8,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
7290119040858,עוגיות מקלות עלים,19.8,E,19.8,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
7290119041053,עוגיות סגנון מרוקאי — VOILA,35.6,D,37.6,D,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_5_PLUS | pen-3:SEED_OIL_PRESENT
7290119041107,עוגיות מרוקאיות עגול — VOILA,35.6,D,37.6,D,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_5_PLUS | pen-3:SEED_OIL_PRESENT
7290119041152,עוגיות ריפ'את — VOILA,35.6,D,37.6,D,2.0,False,55,4,,biscuit,0,binding_cap=55 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_5_PLUS | pen-3:SEED_OIL_PRESENT
7290119041206,עוגיות קוואקר — VOILA,21.5,E,21.5,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
7290119041350,"עוגיות קוואקר ללת""ס — VOILA",21.5,E,21.5,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
